reviewText;Positive
I have Adobe Air on my pc at home and my tablet.  It has never crashed on me but keeps things running smooth.;1
I have tried several times to install/reinstall this app on my Cruz T301 tablet...it will download, but will not install.  Have used chat and verbal assistance with Amazon staffers to no avail.  Was able to download some apps from Applanet that are not d;0
Doesn't work. Keeps telling me, sorry the app store has closed. Tried u install and re-installed. Didn't work. But it is making the puzzle games i d/l it for, work.;0
As soon as I installed it on my phone all my other apps starting acting buggy. I'm not sure what this app does but I thought it would make my Flash dependent apps work better. No so! I uninstalled very quickly to restore the stableness of my phone.;0
This app would not function properly on my Ainol Novo 7 tablet with Android 4.01 (Ice Cream Sandwich). I know the ranking of this particular company's software would have made it nice to have been able to install. Time will get them there.;0
I find this one of many applications that are needed to play and run your games and apps, both on my tablet and my computers.;1
Take Note:  If you own an LG Optimus V, this app will not install even if it says it is compatible on the product page.  I was very disappointed.  You would think this would have been ironed out by now.;0
The wife couldn't figure this out at first but it's an easy download (in my opinion) and was required to view her books. She loves it now.;1
Unfortunately, this app is not compatible with the Kindle Fire. What's worse is that, instead of explaining why it is not compatible, you are not even able to view any system requirements that Adobe AIR needs to run. Also, the 3.5 Beta does not complete ;0
any app that does not work on my phone gets a one star rating, make this app compatible with optimus. I hate apps that are incompatible with my phone;0
What company in their right mind wants to pay multiple times to have their apps developed on multiple native platforms. When they can write their sin Flex/Flash once and have them run on all the platforms. Let Adobe do the work of figuring out all the di;1
JUST GOT THIS 2COMBINE WITH OTHER APP,BUT WAS PLEASANTLY SURPRISED WITH HOW GREAT IT WORKS! KEEP UP THE GREAT WORK!;1
Makes apps that use it smaller and a faster download. I wish more apps used this, so my internal storage would be smaller!;1
From what I understand, this is sort of an operating system.  I had to install this before another Android app would work.  I've not had any problems with it.;1
I understand the benefits of developing apps with air from a developer's standpoint, but on a mobile device with limited space, it's ridiculous to require users to eat up extra storage so you can be lazy enough to not code a native version of your app.;0
I did not order this item from here.  I have no experience with it but I need to get it off my Reviews page so I'm writing this review.  I don't know what this item does, but maybe I need it for my iPhone?;1
Be it flash or PDF or anything adobe this app brings it to your Android device. You need this so Get it;1
Does not work.  Won't open.  Have apps that say you have to have this app too but it does not work.  If you require this for another app to work just delete the app.;0
Hey All,Just a note that this app cannot install on a Velocity Micro T-301.Cheers!Dave Cooke;0
Will not load on my kindle hdx and it is required for one of the games I loaded. I cannot play a game I paid for due to this problem.;0
I cannot use this on my kindle fire.  I purchased the New York times Crossword Puzzle and I can't use it as it requires adobe air and it won't work with my kindle fire.  I am very disappointed.;0
Had a lot of fun playing games with this app. It helped me with my games. Great, great, great app.;1
As always Adobe works great, easy to use. Havent had any problems at all. Thanks .. What else can I say ?;1
I love this app it makes possible for two of my other apps to word flawlessly. Trouble without it. thanks.;1
ok i like adobe and i whont to get this for my kindle fire hd so amazon needs to get to it so i can get it;0
Great app! Needed it to run my Flames Live wallpaper. It worked for that. Not sure what else it is helping, but it got the Flames going!;1
If I understood this, I would probably give it a four.  With some purchases, you need to be very cautious.;0
"performs beautifully on both my HTC Thunderbolt and Motorola Xoom. Adobe is consistently updating the framework to add features. It&apos;s one of the options that makes Android openness superior to Apple&apos;s closed, pay for everything system.";1
I utilze this icon on a constant basis. I would definitely be lost without it. It has proving to be very beneficial and useful at the same time. It have me to be able to processed and use things effectively.;1
Adobe AIR is a pain in the butt. A necessary evil sometimes. But not what I would like to have installed.;0
I have no use for it even though it says I do. What exactly does it do on Coby Tablet? I haven't been able to find out why it doesn't work. I will delete it very soon. Please find out how it helps the mobile equipment work.;0
All you iSheep flash haters out there quit complaining about it burning battery life.  Update your 1.0 install to the latest version that uses hardware acceleration, and battery life issues go away. Or you can sit around and complain about it (for anothe;1
I would recommend Adobe products as I find them to be most useful and do the things I need to do.;1
works very well, gives access to all sorts of stuff. I've used this on all my phones/tablets since it became available. there are many reasons not to buy inferior LG or other low end hardware, this is one of them.;1
Another bloated and insecure piece of software from Adobe. It's huge. The performance was lackluster. Fortunately I can remove this Post completely. I wish the same was true of Flash.;0
