reviewText;Positive
Take note: If you own an LG Optimus V, this app will not install, even if it says it is compatible on the product page. I was very disappointed. You would think this would have been resolved by now.;1
My wife couldn't figure this out at first, but I found it easy to download (in my opinion), and it was necessary to view her books. She loves it now.;1
Unfortunately, this app is not compatible with the Kindle Fire. What's worse is that, instead of explaining why it isn't compatible, you can't even view any system requirements that Adobe AIR needs to run. Also, the 3.5 Beta does not complete.;1
Any app that doesn't work on my phone gets a one-star rating. Make this app compatible with my Optimus. I hate apps that are incompatible with my phone.;1
What company in their right mind wants to pay multiple times to have their apps developed on different native platforms when they can write their code in Flex/Flash once and have it run on all platforms? Let Adobe handle the work of figuring out all the different devices.;1
I just got this to combine with another app, but I was pleasantly surprised by how well it works! Keep up the great work!;1
It makes apps that use it smaller and faster to download. I wish more apps utilized this, so my internal storage would be less strained!;1
From what I understand, this is sort of an operating system. I had to install this before another Android app would work. I haven't had any issues with it.;1
I understand the benefits of developing apps with AIR from a developer's perspective, but on a mobile device with limited space, it's ridiculous to require users to use extra storage just because you didn't code a native version of your app.;1
I did not order this item from here. I have no experience with it, but I need to remove it from my reviews page, so I'm writing this review. I don't know what this item does, but maybe I need it for my iPhone?;1
Whether it's Flash or PDF or anything Adobe, this app brings it to your Android device. You need this, so get it!;0
It doesn't work. It won't open. I have apps that say you need this app too, but it doesn't function. If you require this for another app to work, just delete the app.;1
Hey everyone, just a note that this app cannot install on a Velocity Micro T-301. Cheers! Dave Cooke.;1
It will not load on my Kindle HDX, and it's required for one of the games I downloaded. I can't play a game I paid for because of this issue.;1
I cannot use this on my Kindle Fire. I purchased the New York Times Crossword Puzzle, and I can't use it because it requires Adobe AIR, which won't work on my Kindle Fire. I'm very disappointed.;1
I had a lot of fun playing games with this app. It helped me with my games. Great, great, great app!;0
As always, Adobe works great and is easy to use. I haven't had any problems at all. Thanks! What else can I say?;1
"I love this app; it makes it possible for two of my other apps to work flawlessly. It's essential. Thanks!";0
Okay, I like Adobe, and I want to get this for my Kindle Fire HD, so Amazon needs to make it available so I can get it.;0
Great app! I needed it to run my Flames Live wallpaper. It worked for that. I'm not sure what else it's helping with, but it got the Flames going!;0
If I understood this, I would probably give it a four. With some purchases, you need to be very cautious.;0
Performs beautifully on both my HTC Thunderbolt and Motorola Xoom. Adobe consistently updates the framework to add features. It's one of the reasons that Android's openness is superior to Apple's closed, pay-for-everything system.;0
I utilize this icon constantly. I would definitely be lost without it. It has proven to be very beneficial and useful at the same time. It has allowed me to process and use things effectively.;1
Adobe AIR is a necessary evil sometimes. It's a pain, but not something I would like to have installed.;1
I have no use for it, even though it says I do. What exactly does it do on my Coby Tablet? I haven't been able to find out why it doesn't work. I will delete it very soon. Please find out how it helps mobile devices work.;1
All you iSheep Flash haters out there, quit complaining about it draining battery life. Update your 1.0 install to the latest version that uses hardware acceleration, and battery life issues will disappear. Or you can continue to complain about it (for another reason).;1
I would recommend Adobe products as I find them to be very useful and do the things I need to do.;0
It works very well, providing access to all sorts of content. I've used this on all my phones and tablets since it became available. There are many reasons not to buy inferior LG or other low-end hardware, and this is one of them.;1
Another bloated and insecure piece of software from Adobe. It's huge, and the performance was lackluster. Fortunately, I can remove this post completely. I wish the same was true of Flash.;0
